Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Cancellation comments,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Departure delay comments,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Arrival delay comments,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Year,Month,Delay category,Rate Cancel train,Rate delay train,Go to Paris
2018-01-01,NATIONAL,LE MANS,PARIS MONTPARNASSE,56.0,406.0,1.0,,213.0,8.479968701,4.567119342,,105.0,18.049,5.363539095,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)
Le 17 : Présence d’une personne dans les voies à Ste Luce (11 TGV ; 212mn)
Le 26 : Heurt d’une personne au niveau de Tiercé (44 TGV ; 1578mn)",32.0,5.363539095,9.0,4.0,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333,2018,January,Minimum delay,0.24630541871921183,25.862068965517242,True
2018-01-01,NATIONAL,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.0,226.0,0.0,,21.0,6.23968254,0.286283186,,19.0,24.73684211,2.938053097,,11.0,2.938053097,6.0,1.0,22.22222222,27.77777778,16.66666667,16.66666667,5.555555556,11.11111111,2018,January,Minimum delay,0.0,8.4070796460177,False
2018-01-01,NATIONAL,ST MALO,PARIS MONTPARNASSE,158.0,92.0,0.0,,2.0,1.225,0.0625,,10.0,24.975,4.81576087,,6.0,4.763978495,3.0,1.0,22.22222222,66.66666667,0.0,11.11111111,0.0,0.0,2018,January,Minimum delay,0.0,10.869565217391305,True
2018-01-01,NATIONAL,DOUAI,PARIS NORD,77.0,197.0,3.0,,39.0,8.032905983,1.802920962,,37.0,21.4009009,5.046907216,,10.0,5.046907216,5.0,3.0,36.36363636,18.18181818,22.72727273,18.18181818,4.545454545,0.0,2018,January,Minimum delay,1.5228426395939088,18.781725888324875,True
2018-01-01,NATIONAL,LILLE,PARIS NORD,63.0,579.0,9.0,,164.0,8.22195122,2.344327485,,101.0,22.20577558,4.229619883,,38.0,4.222212493,17.0,10.0,36.23188406,8.695652174,21.73913043,23.1884058,5.797101449,4.347826087,2018,January,Minimum delay,1.5544041450777202,17.443868739205527,True
2018-01-01,NATIONAL,LILLE,MARSEILLE ST CHARLES,307.0,190.0,4.0,,50.0,7.381333333,2.043458781,,35.0,44.1152381,9.938261649,,35.0,9.938261649,13.0,7.0,57.14285714,19.04761905,4.761904762,9.523809524,4.761904762,4.761904762,2018,January,Minimum delay,2.1052631578947367,18.421052631578945,False
2018-01-01,NATIONAL,PARIS NORD,DUNKERQUE,116.0,271.0,3.0,,46.0,11.2365942,1.797636816,,29.0,28.68965517,3.73880597,,18.0,3.73880597,9.0,4.0,35.71428571,28.57142857,7.142857143,25.0,3.571428571,0.0,2018,January,Minimum delay,1.107011070110701,10.70110701107011,False
2018-01-01,NATIONAL,AIX EN PROVENCE TGV,PARIS LYON,188.0,402.0,0.0,,117.0,6.625641026,2.005431177,,37.0,35.97432432,4.417205638,,37.0,4.417205638,19.0,7.0,42.85714286,22.85714286,8.571428571,22.85714286,0.0,2.857142857,2018,January,Minimum delay,0.0,9.203980099502488,True
2018-01-01,NATIONAL,LYON PART DIEU,MARNE LA VALLEE,109.0,316.0,3.0,,221.0,10.31432881,7.273375932,,64.0,37.121875,7.814643237,,53.0,7.814643237,27.0,10.0,18.36734694,34.69387755,12.24489796,20.40816327,6.12244898,8.163265306,2018,January,Minimum delay,0.949367088607595,20.253164556962027,False
2018-01-01,INTERNATIONAL,BARCELONA,PARIS LYON,390.0,35.0,0.0,,10.0,1.4,0.314285714,,7.0,57.67619048,9.219047619,,7.0,9.219047619,3.0,3.0,14.28571429,14.28571429,14.28571429,57.143,0.0,0.0,2018,January,Minimum delay,0.0,20.0,True
2018-01-01,INTERNATIONAL,MADRID,MARSEILLE ST CHARLES,481.0,16.0,1.0,,6.0,3.5,1.0,,3.0,20.27222222,7.255555556,,3.0,7.255555556,0.0,0.0,0.0,0.0,66.66666667,33.33333333,0.0,0.0,2018,January,Minimum delay,6.25,18.75,False
2018-01-01,INTERNATIONAL,PARIS LYON,LAUSANNE,222.0,151.0,2.0,NC,10.0,10.91166667,0.368008949,,20.0,33.67583333,6.025838926,,20.0,6.025838926,6.0,2.0,31.57894737,26.31578947,31.57894737,5.263157895,0.0,5.263157895,2018,January,Minimum delay,1.3245033112582782,13.245033112582782,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,LAVAL,84.0,217.0,0.0,,32.0,11.609375,1.455760369,,66.0,15.13434343,5.82281106,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",16.0,5.82281106,5.0,2.0,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303,2018,January,Minimum delay,0.0,30.414746543778804,False
2018-01-01,NATIONAL,TOURS,PARIS MONTPARNASSE,75.0,194.0,0.0,,12.0,5.727777778,0.333075601,,35.0,11.13142857,2.929295533,,7.0,2.929295533,1.0,0.0,25.0,56.25,6.25,12.5,0.0,0.0,2018,January,Minimum delay,0.0,18.04123711340206,True
2018-01-01,NATIONAL,PARIS EST,METZ,84.0,310.0,0.0,,41.0,6.409349593,0.823548387,,24.0,11.88888889,0.76,,7.0,0.76,1.0,0.0,26.66666667,6.666666667,13.33333333,40.0,13.33333333,0.0,2018,January,Minimum delay,0.0,7.741935483870968,False
2018-01-01,NATIONAL,LYON PART DIEU,LILLE,189.0,296.0,3.0,,218.0,10.35810398,7.809613197,,67.0,44.43731343,12.04897611,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.",64.0,12.04897611,35.0,12.0,30.76923077,32.69230769,9.615384615,17.30769231,3.846153846,5.769230769,2018,January,Minimum delay,1.0135135135135136,22.635135135135133,False
2018-01-01,NATIONAL,PARIS NORD,DOUAI,69.0,192.0,2.0,,29.0,10.39367816,1.437105263,,30.0,19.24777778,2.288070175,,11.0,2.288070175,5.0,3.0,37.5,33.33333333,12.5,12.5,4.166666667,0.0,2018,January,Minimum delay,1.0416666666666665,15.625,False
2018-01-01,NATIONAL,PARIS VAUGIRARD,NANTES,140.0,62.0,0.0,Non communiqué,15.0,11.64111111,2.522043011,,10.0,34.23166667,7.565591398,,6.0,7.565591398,3.0,3.0,30.0,30.0,20.0,10.0,10.0,0.0,2018,January,Minimum delay,0.0,16.129032258064516,False
2018-01-01,NATIONAL,MARSEILLE ST CHARLES,PARIS LYON,202.0,431.0,0.0,,85.0,8.292352941,1.546017015,,40.0,35.71166667,4.270301624,,40.0,4.270301624,19.0,8.0,39.47368421,21.05263158,10.52631579,26.31578947,0.0,2.631578947,2018,January,Minimum delay,0.0,9.280742459396752,True
2018-01-01,NATIONAL,PARIS LYON,AVIGNON TGV,159.0,462.0,0.0,,48.0,11.04236111,0.855627706,,64.0,31.44114583,5.880880231,,45.0,5.880880231,19.0,8.0,30.15873016,25.3968254,19.04761905,22.22222222,3.174603175,0.0,2018,January,Minimum delay,0.0,13.852813852813853,False
